Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   420 |     3690
  query    |   450 |     2057
  gallery  |   934 |    42929
  camstyle  |     0 |        0
Epoch: [0][1/28]	Time 11.312 (11.312)	Data 2.589 (2.589)	Loss 6.049 (6.049)	Prec 0.00% (0.00%)	
Epoch: [0][2/28]	Time 0.491 (5.902)	Data 0.004 (1.296)	Loss 9.771 (7.910)	Prec 29.69% (14.84%)	
Epoch: [0][3/28]	Time 0.731 (4.178)	Data 0.244 (0.945)	Loss 6.722 (7.514)	Prec 1.56% (10.42%)	
Epoch: [0][4/28]	Time 0.733 (3.317)	Data 0.239 (0.769)	Loss 4.422 (6.741)	Prec 40.62% (17.97%)	
Epoch: [0][5/28]	Time 0.735 (2.800)	Data 0.240 (0.663)	Loss 5.647 (6.522)	Prec 4.69% (15.31%)	
Epoch: [0][6/28]	Time 0.734 (2.456)	Data 0.245 (0.594)	Loss 5.795 (6.401)	Prec 39.84% (19.40%)	
Epoch: [0][7/28]	Time 0.740 (2.211)	Data 0.246 (0.544)	Loss 6.066 (6.353)	Prec 11.72% (18.30%)	
Epoch: [0][8/28]	Time 0.737 (2.027)	Data 0.240 (0.506)	Loss 5.273 (6.218)	Prec 33.59% (20.21%)	
Epoch: [0][9/28]	Time 0.745 (1.884)	Data 0.250 (0.478)	Loss 4.732 (6.053)	Prec 30.47% (21.35%)	
Epoch: [0][10/28]	Time 0.739 (1.770)	Data 0.242 (0.454)	Loss 4.513 (5.899)	Prec 32.81% (22.50%)	
Epoch: [0][11/28]	Time 0.749 (1.677)	Data 0.241 (0.435)	Loss 4.797 (5.799)	Prec 35.94% (23.72%)	
Epoch: [0][12/28]	Time 0.730 (1.598)	Data 0.236 (0.418)	Loss 4.263 (5.671)	Prec 33.59% (24.54%)	
Epoch: [0][13/28]	Time 0.737 (1.532)	Data 0.241 (0.404)	Loss 4.710 (5.597)	Prec 39.84% (25.72%)	
Epoch: [0][14/28]	Time 0.737 (1.475)	Data 0.244 (0.393)	Loss 5.248 (5.572)	Prec 17.19% (25.11%)	
Epoch: [0][15/28]	Time 0.744 (1.426)	Data 0.247 (0.383)	Loss 4.517 (5.502)	Prec 40.62% (26.15%)	
Epoch: [0][16/28]	Time 0.736 (1.383)	Data 0.241 (0.374)	Loss 5.153 (5.480)	Prec 17.19% (25.59%)	
Epoch: [0][17/28]	Time 0.747 (1.346)	Data 0.247 (0.367)	Loss 4.724 (5.436)	Prec 38.28% (26.33%)	
Epoch: [0][18/28]	Time 0.740 (1.312)	Data 0.243 (0.360)	Loss 4.709 (5.395)	Prec 28.12% (26.43%)	
Epoch: [0][19/28]	Time 0.745 (1.282)	Data 0.247 (0.354)	Loss 5.201 (5.385)	Prec 16.41% (25.90%)	
Epoch: [0][20/28]	Time 0.747 (1.255)	Data 0.247 (0.349)	Loss 5.370 (5.384)	Prec 29.69% (26.09%)	
Epoch: [0][21/28]	Time 0.744 (1.231)	Data 0.243 (0.344)	Loss 5.612 (5.395)	Prec 25.78% (26.08%)	
Epoch: [0][22/28]	Time 0.742 (1.209)	Data 0.245 (0.339)	Loss 5.262 (5.389)	Prec 24.22% (25.99%)	
Epoch: [0][23/28]	Time 0.747 (1.189)	Data 0.249 (0.335)	Loss 5.295 (5.385)	Prec 21.09% (25.78%)	
Epoch: [0][24/28]	Time 0.747 (1.170)	Data 0.245 (0.332)	Loss 5.119 (5.374)	Prec 26.56% (25.81%)	
Epoch: [0][25/28]	Time 0.740 (1.153)	Data 0.242 (0.328)	Loss 4.436 (5.336)	Prec 32.81% (26.09%)	
Epoch: [0][26/28]	Time 0.749 (1.138)	Data 0.250 (0.325)	Loss 4.847 (5.317)	Prec 36.72% (26.50%)	
Epoch: [0][27/28]	Time 0.752 (1.123)	Data 0.250 (0.322)	Loss 4.735 (5.296)	Prec 28.91% (26.59%)	
Epoch: [0][28/28]	Time 0.754 (1.110)	Data 0.250 (0.320)	Loss 5.240 (5.294)	Prec 25.78% (26.56%)	

 * Finished epoch   0 

Epoch: [1][1/28]	Time 3.041 (3.041)	Data 2.481 (2.481)	Loss 5.299 (5.299)	Prec 25.00% (25.00%)	
Epoch: [1][2/28]	Time 0.774 (1.908)	Data 0.255 (1.368)	Loss 5.031 (5.165)	Prec 27.34% (26.17%)	
Epoch: [1][3/28]	Time 0.797 (1.538)	Data 0.250 (0.995)	Loss 4.460 (4.930)	Prec 32.03% (28.12%)	
Epoch: [1][4/28]	Time 0.732 (1.336)	Data 0.226 (0.803)	Loss 5.256 (5.012)	Prec 35.16% (29.88%)	
Epoch: [1][5/28]	Time 0.771 (1.223)	Data 0.249 (0.692)	Loss 4.856 (4.981)	Prec 30.47% (30.00%)	
Epoch: [1][6/28]	Time 0.752 (1.145)	Data 0.248 (0.618)	Loss 4.968 (4.978)	Prec 28.91% (29.82%)	
Epoch: [1][7/28]	Time 0.751 (1.089)	Data 0.249 (0.565)	Loss 4.938 (4.973)	Prec 31.25% (30.02%)	
Epoch: [1][8/28]	Time 0.755 (1.047)	Data 0.249 (0.526)	Loss 4.885 (4.962)	Prec 28.12% (29.79%)	
Epoch: [1][9/28]	Time 0.752 (1.014)	Data 0.247 (0.495)	Loss 5.055 (4.972)	Prec 32.03% (30.03%)	
